#U1	H	C	F	X	E	A	L	M	B	G	D
54.13	7.77	0.42	1.62	1.11	3.03	2.2	6.23	4.2	3.38	0.99	6.39
54.16	7.66	0.4	1.56	1.11	2.98	2.14	6.2	4.23	3.33	0.99	6.34
54.18	7.62	0.39	1.58	1.13	2.92	2.1	6.19	4.18	3.33	1.02	6.22
54.21	7.62	0.41	1.61	1.08	2.96	2.12	6.1	4.1	3.28	0.98	6.18
54.23	7.52	0.4	1.53	1.05	2.93	2.08	6.06	4.12	3.22	0.95	6.16
54.26	7.44	0.38	1.54	1.08	2.86	2.03	6.06	4.1	3.19	0.99	6.04
54.28	7.45	0.39	1.56	1.04	2.87	2.04	5.99	4.01	3.16	0.97	5.96
54.31	7.38	0.4	1.51	1	2.88	2.02	5.92	4	3.1	0.93	5.97
54.33	7.28	0.37	1.48	1.03	2.8	1.96	5.93	4.01	3.08	0.95	5.88
54.35	7.29	0.37	1.53	1.02	2.78	1.96	5.88	3.93	3.04	0.96	5.77
54.38	7.26	0.39	1.5	0.96	2.81	1.96	5.8	3.91	2.98	0.9	5.78
54.4	7.16	0.36	1.45	0.97	2.75	1.9	5.8	3.92	2.94	0.91	5.72
54.43	7.13	0.35	1.47	0.98	2.7	1.87	5.78	3.87	2.94	0.94	5.59
54.45	7.13	0.38	1.47	0.92	2.74	1.89	5.69	3.81	2.88	0.89	5.6
54.48	7.04	0.36	1.4	0.91	2.7	1.84	5.67	3.82	2.83	0.87	5.58
54.5	7	0.35	1.42	0.94	2.64	1.8	5.67	3.79	2.83	0.91	5.46
54.52	7.01	0.37	1.44	0.89	2.66	1.82	5.6	3.72	2.79	0.88	5.41
54.55	6.95	0.34	1.38	0.87	2.66	1.79	5.54	3.73	2.72	0.84	5.41
54.57	6.9	0.32	1.39	0.89	2.59	1.74	5.55	3.7	2.71	0.87	5.3
54.6	6.91	0.32	1.38	0.87	2.6	1.75	5.49	3.66	2.69	0.84	5.21
54.62	6.85	0.33	1.34	0.83	2.58	1.74	5.46	3.67	2.63	0.82	5.22
54.65	6.81	0.3	1.34	0.86	2.52	1.68	5.47	3.64	2.61	0.84	5.15
54.67	6.82	0.3	1.36	0.86	2.53	1.67	5.42	3.59	2.61	0.82	5.04
54.7	6.78	0.32	1.32	0.8	2.52	1.68	5.38	3.59	2.55	0.79	5.03
54.72	6.73	0.3	1.3	0.8	2.48	1.63	5.38	3.58	2.5	0.81	5
54.74	6.74	0.3	1.32	0.82	2.48	1.59	5.35	3.53	2.51	0.81	4.87
54.77	6.72	0.32	1.29	0.79	2.48	1.61	5.3	3.52	2.46	0.78	4.84
54.79	6.67	0.31	1.26	0.76	2.44	1.57	5.31	3.53	2.4	0.79	4.84
54.82	6.66	0.29	1.28	0.8	2.41	1.52	5.3	3.49	2.4	0.8	4.72
54.84	6.67	0.3	1.27	0.76	2.43	1.54	5.25	3.46	2.38	0.77	4.66
54.87	6.63	0.3	1.23	0.73	2.39	1.53	5.25	3.48	2.31	0.76	4.67
54.89	6.62	0.28	1.24	0.76	2.35	1.47	5.26	3.46	2.3	0.78	4.59
54.92	6.65	0.28	1.25	0.75	2.38	1.46	5.22	3.42	2.32	0.76	4.48
54.94	6.62	0.3	1.2	0.7	2.37	1.47	5.21	3.44	2.25	0.74	4.49
54.96	6.6	0.27	1.2	0.72	2.33	1.41	5.23	3.44	2.22	0.75	4.44
54.99	6.64	0.27	1.23	0.73	2.34	1.38	5.21	3.4	2.22	0.75	4.33
55.01	6.64	0.29	1.2	0.67	2.35	1.4	5.19	3.4	2.17	0.72	4.31
55.04	6.6	0.27	1.18	0.67	2.31	1.35	5.21	3.43	2.12	0.74	4.29
55.06	6.64	0.27	1.21	0.71	2.29	1.31	5.21	3.39	2.13	0.75	4.15
55.09	6.66	0.28	1.2	0.66	2.32	1.32	5.18	3.39	2.1	0.72	4.09
55.11	6.64	0.28	1.16	0.65	2.29	1.31	5.2	3.41	2.03	0.72	4.1
55.14	6.66	0.26	1.18	0.67	2.26	1.25	5.23	3.4	2.03	0.74	4
55.16	6.71	0.26	1.19	0.65	2.29	1.25	5.21	3.38	2.01	0.72	3.92
55.18	6.7	0.27	1.15	0.62	2.28	1.25	5.22	3.42	1.95	0.71	3.93
55.21	6.7	0.27	1.16	0.64	2.25	1.19	5.26	3.41	1.93	0.73	3.87
55.23	6.76	0.27	1.17	0.64	2.28	1.18	5.25	3.39	1.93	0.73	3.76
55.26	6.77	0.29	1.15	0.59	2.29	1.19	5.25	3.42	1.88	0.71	3.76
55.28	6.77	0.27	1.14	0.59	2.25	1.14	5.29	3.44	1.84	0.73	3.74
55.31	6.83	0.27	1.18	0.61	2.27	1.11	5.3	3.42	1.85	0.74	3.63
55.33	6.86	0.28	1.16	0.55	2.29	1.13	5.3	3.43	1.8	0.71	3.6
55.36	6.85	0.27	1.14	0.55	2.27	1.09	5.34	3.47	1.75	0.72	3.6
55.38	6.9	0.26	1.17	0.59	2.26	1.05	5.37	3.46	1.76	0.74	3.49
55.4	6.96	0.26	1.18	0.55	2.29	1.07	5.36	3.46	1.74	0.72	3.42
55.43	6.96	0.27	1.14	0.54	2.29	1.06	5.4	3.5	1.67	0.71	3.44
55.45	6.99	0.25	1.16	0.57	2.27	1	5.45	3.5	1.66	0.74	3.37
55.48	7.06	0.25	1.19	0.55	2.31	1	5.44	3.49	1.66	0.73	3.28
55.5	7.07	0.27	1.16	0.52	2.32	1	5.46	3.53	1.6	0.72	3.29
55.53	7.09	0.25	1.16	0.53	2.29	0.94	5.52	3.56	1.57	0.74	3.25
55.55	7.15	0.25	1.2	0.54	2.31	0.92	5.53	3.54	1.58	0.75	3.15
55.57	7.19	0.26	1.17	0.5	2.34	0.94	5.54	3.57	1.53	0.73	3.14
55.6	7.19	0.25	1.17	0.49	2.31	0.9	5.6	3.61	1.5	0.74	3.13
55.62	7.26	0.25	1.21	0.52	2.32	0.87	5.63	3.59	1.5	0.77	3.03
55.65	7.31	0.25	1.2	0.47	2.37	0.89	5.63	3.61	1.47	0.74	2.98
55.67	7.32	0.25	1.17	0.47	2.35	0.86	5.68	3.65	1.42	0.74	3.01
55.7	7.37	0.24	1.21	0.49	2.35	0.81	5.72	3.65	1.42	0.77	2.92
55.72	7.43	0.24	1.22	0.46	2.39	0.83	5.72	3.65	1.41	0.76	2.85
55.75	7.44	0.25	1.2	0.45	2.41	0.82	5.75	3.7	1.35	0.75	2.88
55.77	7.47	0.23	1.22	0.48	2.38	0.76	5.81	3.72	1.35	0.78	2.84
55.79	7.54	0.23	1.25	0.48	2.42	0.75	5.82	3.7	1.35	0.78	2.75
55.82	7.57	0.25	1.23	0.44	2.44	0.77	5.83	3.74	1.3	0.76	2.77
55.84	7.58	0.22	1.22	0.44	2.42	0.72	5.89	3.77	1.27	0.79	2.75
55.87	7.65	0.22	1.27	0.44	2.43	0.71	5.92	3.76	1.3	0.8	2.65
55.89	7.7	0.24	1.26	0.4	2.48	0.73	5.92	3.79	1.23	0.78	2.65
55.92	7.7	0.22	1.24	0.43	2.46	0.67	5.97	3.83	1.22	0.79	2.63
55.94	7.75	0.21	1.28	0.44	2.47	0.67	6.01	3.81	1.25	0.82	2.59
55.97	7.81	0.23	1.28	0.39	2.51	0.7	6.01	3.83	1.2	0.8	2.59
55.99	7.81	0.22	1.26	0.41	2.51	0.64	6.04	3.88	1.16	0.8	2.58
56.01	7.84	0.2	1.28	0.44	2.5	0.6	6.1	3.88	1.2	0.84	2.55
56.04	7.91	0.22	1.3	0.4	2.55	0.65	6.1	3.88	1.17	0.83	2.54
56.06	7.93	0.22	1.29	0.39	2.57	0.61	6.12	3.92	1.12	0.82	2.54
56.09	7.95	0.2	1.31	0.42	2.54	0.56	6.17	3.95	1.16	0.85	2.52
56.11	8.02	0.21	1.35	0.39	2.57	0.6	6.19	3.93	1.17	0.85	2.51
56.14	8.05	0.23	1.33	0.36	2.6	0.6	6.19	3.96	1.09	0.83	2.53
56.16	8.05	0.2	1.32	0.4	2.58	0.54	6.25	4	1.11	0.85	2.52
56.19	8.11	0.21	1.36	0.39	2.58	0.56	6.27	3.99	1.15	0.86	2.52
56.21	8.16	0.23	1.36	0.35	2.63	0.59	6.27	4	1.1	0.84	2.54
56.23	8.16	0.21	1.34	0.37	2.62	0.54	6.31	4.04	1.09	0.85	2.56
56.26	8.2	0.2	1.37	0.4	2.62	0.53	6.36	4.04	1.13	0.88	2.57
56.28	8.27	0.22	1.39	0.35	2.66	0.57	6.35	4.05	1.1	0.87	2.59
56.31	8.27	0.22	1.37	0.37	2.66	0.54	6.38	4.09	1.07	0.86	2.63
56.33	8.29	0.2	1.38	0.39	2.64	0.5	6.43	4.1	1.11	0.89	2.64
56.36	8.36	0.21	1.41	0.37	2.67	0.55	6.43	4.08	1.12	0.89	2.67
56.38	8.38	0.22	1.38	0.34	2.69	0.53	6.44	4.12	1.08	0.86	2.72
56.41	8.4	0.19	1.38	0.38	2.67	0.49	6.5	4.14	1.12	0.88	2.74
56.43	8.47	0.19	1.42	0.35	2.69	0.53	6.52	4.13	1.16	0.9	2.77
56.45	8.51	0.21	1.41	0.32	2.73	0.55	6.52	4.16	1.12	0.88	2.84
56.48	8.52	0.19	1.39	0.36	2.71	0.5	6.56	4.2	1.15	0.89	2.88
56.5	8.57	0.19	1.43	0.36	2.71	0.53	6.6	4.19	1.21	0.91	2.91
56.53	8.63	0.21	1.44	0.33	2.75	0.55	6.6	4.2	1.18	0.9	3.03
56.55	8.64	0.19	1.41	0.36	2.75	0.52	6.64	4.23	1.22	0.89	3.05
56.58	8.68	0.19	1.43	0.35	2.73	0.53	6.69	4.23	1.26	0.92	3.05
56.6	8.77	0.22	1.46	0.35	2.77	0.56	6.7	4.23	1.25	0.91	3.17
56.62	8.79	0.19	1.43	0.36	2.78	0.53	6.72	4.27	1.26	0.89	3.24
56.65	8.81	0.19	1.43	0.37	2.76	0.53	6.78	4.29	1.32	0.92	3.24
56.67	8.89	0.21	1.46	0.35	2.78	0.58	6.8	4.28	1.32	0.93	3.35
56.7	8.94	0.2	1.45	0.35	2.81	0.55	6.81	4.31	1.33	0.9	3.45
56.72	8.95	0.2	1.42	0.38	2.79	0.55	6.87	4.35	1.39	0.92	3.46
56.75	9.03	0.21	1.46	0.35	2.8	0.59	6.91	4.34	1.41	0.94	3.54
56.77	9.09	0.21	1.46	0.35	2.84	0.59	6.92	4.36	1.4	0.92	3.67
56.8	9.11	0.2	1.43	0.38	2.84	0.58	6.97	4.42	1.46	0.92	3.7
56.82	9.18	0.2	1.47	0.36	2.83	0.61	7.03	4.42	1.48	0.95	3.74
56.84	9.27	0.22	1.49	0.36	2.88	0.64	7.05	4.42	1.47	0.95	3.89
56.87	9.3	0.2	1.46	0.38	2.89	0.62	7.08	4.48	1.51	0.94	3.96
56.89	9.35	0.2	1.47	0.39	2.88	0.64	7.16	4.5	1.57	0.96	3.98
56.92	9.46	0.22	1.5	0.37	2.91	0.68	7.19	4.49	1.59	0.97	4.11
56.94	9.51	0.2	1.48	0.38	2.94	0.66	7.21	4.54	1.61	0.94	4.22
56.97	9.55	0.2	1.48	0.41	2.92	0.67	7.29	4.58	1.68	0.97	4.23
56.99	9.65	0.22	1.52	0.38	2.94	0.72	7.33	4.58	1.71	0.98	4.34
57.02	9.73	0.22	1.52	0.38	2.98	0.72	7.35	4.62	1.71	0.96	4.45
57.04	9.76	0.21	1.51	0.43	2.96	0.72	7.43	4.68	1.78	0.98	4.47
57.06	9.85	0.21	1.55	0.41	2.97	0.76	7.49	4.68	1.82	1.01	4.55
57.09	9.95	0.24	1.55	0.41	3.01	0.79	7.52	4.7	1.82	0.99	4.7
57.11	9.99	0.23	1.54	0.44	3.01	0.76	7.58	4.76	1.87	0.99	4.75
57.14	10.06	0.23	1.57	0.43	3	0.8	7.66	4.78	1.92	1.02	4.79
57.16	10.17	0.25	1.6	0.43	3.05	0.83	7.69	4.79	1.92	1.02	4.94
57.19	10.23	0.24	1.58	0.46	3.08	0.82	7.73	4.86	1.96	1	5.04
57.21	10.29	0.24	1.6	0.48	3.07	0.84	7.82	4.91	2.02	1.03	5.06
57.24	10.41	0.26	1.64	0.45	3.11	0.9	7.87	4.91	2.02	1.05	5.18
57.26	10.48	0.25	1.63	0.45	3.15	0.89	7.9	4.96	2.04	1.03	5.3
57.28	10.53	0.25	1.62	0.49	3.14	0.9	7.99	5.02	2.11	1.05	5.32
57.31	10.64	0.26	1.66	0.46	3.15	0.96	8.06	5.02	2.14	1.08	5.41
57.33	10.75	0.27	1.67	0.46	3.2	0.97	8.09	5.06	2.13	1.06	5.56
57.36	10.8	0.25	1.65	0.51	3.21	0.96	8.17	5.13	2.19	1.06	5.59
57.38	10.89	0.25	1.68	0.49	3.22	1.01	8.25	5.14	2.24	1.09	5.65
57.41	11.01	0.28	1.71	0.49	3.27	1.04	8.28	5.17	2.24	1.09	5.81
57.43	11.07	0.26	1.68	0.53	3.29	1.03	8.34	5.24	2.28	1.09	5.88
57.46	11.14	0.26	1.7	0.53	3.28	1.06	8.44	5.27	2.35	1.12	5.91
57.48	11.26	0.28	1.73	0.52	3.33	1.11	8.48	5.28	2.37	1.13	6.05
57.5	11.33	0.27	1.72	0.54	3.36	1.09	8.52	5.35	2.4	1.11	6.15
57.53	11.39	0.27	1.72	0.57	3.35	1.11	8.62	5.39	2.46	1.14	6.17
57.55	11.51	0.29	1.77	0.54	3.38	1.17	8.69	5.4	2.49	1.16	6.28
57.58	11.61	0.28	1.77	0.54	3.44	1.16	8.72	5.46	2.5	1.14	6.43
57.6	11.66	0.28	1.75	0.59	3.43	1.16	8.81	5.52	2.56	1.15	6.45
57.63	11.77	0.28	1.8	0.55	3.45	1.22	8.89	5.53	2.6	1.18	6.56
57.65	11.88	0.29	1.81	0.55	3.51	1.24	8.93	5.56	2.6	1.18	6.72
57.68	11.94	0.27	1.79	0.61	3.53	1.22	8.99	5.64	2.65	1.18	6.78
57.7	12.03	0.28	1.81	0.6	3.54	1.27	9.08	5.66	2.7	1.21	6.82
57.72	12.16	0.31	1.85	0.59	3.59	1.31	9.12	5.69	2.7	1.21	6.98
57.75	12.23	0.28	1.83	0.62	3.63	1.3	9.18	5.76	2.73	1.2	7.08
57.77	12.3	0.28	1.83	0.64	3.62	1.33	9.28	5.8	2.8	1.23	7.11
57.8	12.42	0.3	1.88	0.61	3.66	1.38	9.33	5.81	2.8	1.25	7.24
57.82	12.52	0.29	1.86	0.63	3.7	1.36	9.37	5.87	2.81	1.23	7.37
57.85	12.57	0.29	1.86	0.65	3.7	1.37	9.47	5.92	2.88	1.25	7.41
57.87	12.69	0.31	1.9	0.63	3.72	1.43	9.55	5.93	2.91	1.28	7.52
57.89	12.8	0.31	1.91	0.63	3.78	1.43	9.58	5.98	2.92	1.26	7.69
57.92	12.86	0.3	1.89	0.69	3.78	1.42	9.66	6.06	2.98	1.26	7.75
57.94	12.96	0.3	1.93	0.66	3.79	1.47	9.75	6.07	3.03	1.3	7.83
57.97	13.08	0.32	1.96	0.65	3.85	1.5	9.79	6.1	3.03	1.3	8.02
57.99	13.13	0.3	1.94	0.7	3.88	1.48	9.85	6.17	3.08	1.3	8.11
58.02	13.22	0.3	1.97	0.7	3.86	1.53	9.95	6.19	3.15	1.33	8.18
58.04	13.35	0.32	2.01	0.68	3.91	1.57	10.01	6.2	3.15	1.34	8.36
58.07	13.43	0.3	2	0.71	3.95	1.55	10.05	6.27	3.17	1.33	8.49
58.09	13.49	0.3	2	0.73	3.94	1.57	10.15	6.32	3.25	1.35	8.54
58.11	13.62	0.32	2.05	0.7	3.97	1.63	10.21	6.32	3.27	1.37	8.69
58.14	13.72	0.33	2.06	0.71	4.03	1.62	10.25	6.38	3.29	1.36	8.88
58.16	13.78	0.32	2.04	0.75	4.02	1.62	10.33	6.44	3.37	1.37	8.96
58.19	13.89	0.32	2.09	0.73	4.05	1.68	10.41	6.45	3.41	1.4	9.08
58.21	14.01	0.34	2.1	0.73	4.1	1.69	10.45	6.49	3.39	1.39	9.29
58.24	14.07	0.32	2.09	0.79	4.11	1.68	10.52	6.56	3.46	1.39	9.4
58.26	14.16	0.32	2.13	0.78	4.11	1.74	10.62	6.58	3.52	1.43	9.51
58.29	14.29	0.35	2.16	0.76	4.17	1.77	10.66	6.6	3.53	1.43	9.72
58.31	14.37	0.32	2.14	0.83	4.21	1.75	10.72	6.68	3.6	1.41	9.88
58.33	14.44	0.34	2.15	0.78	4.2	1.83	10.81	6.71	3.65	1.44	10.02
58.36	14.57	0.37	2.2	0.78	4.24	1.85	10.88	6.71	3.64	1.46	10.19
58.38	14.66	0.33	2.2	0.85	4.29	1.81	10.92	6.77	3.72	1.45	10.35
58.41	14.72	0.35	2.2	0.83	4.28	1.87	11	6.83	3.81	1.46	10.51
58.43	14.85	0.38	2.25	0.8	4.3	1.93	11.08	6.84	3.81	1.49	10.7
58.46	14.96	0.36	2.27	0.87	4.36	1.89	11.12	6.88	3.86	1.49	10.88
58.48	15.03	0.34	2.25	0.88	4.37	1.94	11.2	6.95	3.97	1.49	11.04
58.51	15.13	0.38	2.29	0.84	4.37	2.02	11.3	6.97	3.99	1.52	11.23
58.53	15.27	0.37	2.32	0.89	4.43	2	11.34	7	4.02	1.52	11.44
58.55	15.34	0.34	2.3	0.94	4.45	2.01	11.41	7.08	4.12	1.51	11.61
58.58	15.43	0.37	2.32	0.89	4.45	2.09	11.51	7.1	4.17	1.55	11.81
58.6	15.57	0.39	2.36	0.92	4.5	2.1	11.56	7.12	4.18	1.55	12.02
58.63	15.66	0.36	2.35	0.99	4.54	2.09	11.61	7.19	4.27	1.54	12.2
58.65	15.74	0.38	2.35	0.96	4.54	2.17	11.71	7.24	4.36	1.57	12.38
58.68	15.87	0.42	2.39	0.95	4.57	2.21	11.79	7.26	4.35	1.59	12.61
58.7	15.98	0.39	2.4	1.03	4.63	2.18	11.83	7.32	4.43	1.57	12.82
58.73	16.05	0.39	2.4	1.03	4.62	2.25	11.92	7.38	4.54	1.58	13.02
58.75	16.17	0.42	2.45	0.99	4.64	2.32	12.01	7.4	4.55	1.61	13.24
58.77	16.3	0.4	2.46	1.07	4.7	2.3	12.06	7.43	4.6	1.61	13.48
58.8	16.37	0.38	2.44	1.1	4.71	2.33	12.13	7.51	4.72	1.61	13.68
58.82	16.48	0.42	2.48	1.05	4.72	2.42	12.24	7.53	4.75	1.64	13.91
58.85	16.63	0.42	2.51	1.09	4.77	2.42	12.3	7.56	4.77	1.65	14.15
58.87	16.72	0.39	2.5	1.16	4.8	2.42	12.36	7.64	4.89	1.63	14.36
58.9	16.8	0.42	2.5	1.12	4.8	2.51	12.46	7.68	4.96	1.66	14.59
58.92	16.95	0.45	2.55	1.13	4.84	2.54	12.53	7.7	4.97	1.68	14.84
58.94	17.06	0.42	2.55	1.21	4.88	2.53	12.58	7.77	5.06	1.66	15.02
58.97	17.13	0.44	2.55	1.18	4.88	2.62	12.68	7.83	5.13	1.68	15.24
58.99	17.27	0.45	2.6	1.22	4.91	2.63	12.77	7.84	5.16	1.71	15.54
59.02	17.4	0.43	2.6	1.27	4.96	2.65	12.82	7.89	5.26	1.7	15.74
59.04	17.49	0.43	2.59	1.25	4.97	2.72	12.91	7.97	5.33	1.7	15.96
59.07	17.61	0.46	2.63	1.26	4.97	2.76	13.02	7.99	5.36	1.73	16.27
59.09	17.76	0.44	2.65	1.32	5.04	2.75	13.07	8.02	5.44	1.73	16.52
59.12	17.84	0.44	2.63	1.32	5.06	2.82	13.14	8.11	5.53	1.72	16.72
59.14	17.94	0.48	2.66	1.32	5.06	2.87	13.25	8.14	5.56	1.75	17.04
59.16	18.1	0.46	2.71	1.38	5.12	2.88	13.32	8.17	5.61	1.77	17.32
59.19	18.2	0.46	2.69	1.4	5.16	2.92	13.38	8.24	5.71	1.76	17.51
59.21	18.29	0.49	2.7	1.37	5.15	2.99	13.49	8.29	5.75	1.78	17.79
59.24	18.44	0.49	2.74	1.41	5.18	3	13.57	8.31	5.79	1.8	18.13
59.26	18.56	0.47	2.75	1.45	5.24	3.02	13.63	8.38	5.88	1.79	18.34
59.29	18.65	0.49	2.74	1.43	5.24	3.1	13.73	8.44	5.94	1.8	18.6
59.31	18.79	0.51	2.78	1.46	5.26	3.13	13.82	8.46	5.97	1.83	18.96
59.34	18.94	0.48	2.81	1.51	5.32	3.13	13.88	8.51	6.06	1.82	19.21
59.36	19.03	0.49	2.79	1.5	5.33	3.2	13.96	8.59	6.13	1.82	19.45
59.38	19.14	0.52	2.81	1.51	5.34	3.25	14.07	8.62	6.16	1.86	19.81
59.41	19.3	0.5	2.85	1.56	5.4	3.25	14.13	8.65	6.23	1.87	20.12
59.43	19.4	0.5	2.84	1.57	5.44	3.31	14.2	8.73	6.33	1.85	20.37
59.46	19.5	0.54	2.85	1.55	5.42	3.37	14.31	8.77	6.36	1.88	20.72
59.48	19.65	0.52	2.89	1.61	5.47	3.37	14.39	8.78	6.4	1.91	21.07
59.51	19.77	0.51	2.9	1.64	5.52	3.4	14.44	8.86	6.5	1.89	21.3
59.53	19.86	0.54	2.9	1.62	5.52	3.48	14.54	8.91	6.55	1.9	21.64
59.56	20.01	0.55	2.95	1.65	5.55	3.49	14.64	8.93	6.58	1.93	22.04
59.58	20.15	0.53	2.95	1.7	5.61	3.5	14.69	8.98	6.68	1.92	22.37
59.6	20.24	0.54	2.93	1.68	5.62	3.55	14.77	9.06	6.74	1.92	22.7
59.63	20.37	0.57	2.97	1.69	5.63	3.58	14.87	9.08	6.77	1.96	23.13
59.65	20.52	0.55	3	1.75	5.69	3.58	14.93	9.12	6.85	1.97	23.48
59.68	20.62	0.55	2.99	1.75	5.72	3.64	15.01	9.2	6.94	1.96	23.8
59.7	20.73	0.58	3.01	1.74	5.72	3.7	15.12	9.24	6.97	1.99	24.23
59.73	20.89	0.57	3.06	1.8	5.78	3.7	15.2	9.27	7.03	2.01	24.65
59.75	21	0.56	3.04	1.82	5.82	3.75	15.26	9.35	7.12	1.99	24.99
59.78	21.1	0.59	3.05	1.79	5.81	3.82	15.37	9.39	7.16	2.01	25.43
59.8	21.26	0.6	3.09	1.84	5.85	3.82	15.45	9.4	7.2	2.04	25.9
59.82	21.39	0.58	3.09	1.88	5.9	3.84	15.5	9.46	7.3	2.03	26.27
59.85	21.49	0.6	3.08	1.84	5.9	3.91	15.61	9.53	7.36	2.03	26.71
59.87	21.63	0.62	3.13	1.87	5.92	3.94	15.71	9.55	7.39	2.07	27.26
59.9	21.78	0.6	3.16	1.93	5.99	3.94	15.76	9.6	7.48	2.07	27.72
59.92	21.87	0.61	3.14	1.91	6	4.02	15.84	9.67	7.57	2.06	28.17
59.95	22	0.64	3.16	1.91	6	4.07	15.96	9.7	7.6	2.1	28.77
59.97	22.16	0.62	3.2	1.97	6.06	4.06	16.03	9.73	7.67	2.11	29.31
59.99	22.27	0.62	3.18	1.97	6.1	4.12	16.1	9.81	7.77	2.1	29.81
60.02	22.39	0.66	3.2	1.96	6.1	4.17	16.22	9.85	7.8	2.12	30.45
60.04	22.55	0.65	3.25	2.01	6.14	4.17	16.3	9.87	7.85	2.14	31.11
60.07	22.68	0.63	3.24	2.04	6.19	4.2	16.35	9.94	7.95	2.12	31.67
60.09	22.77	0.66	3.24	2.02	6.18	4.28	16.45	10	8.01	2.14	32.36
60.12	22.93	0.67	3.29	2.06	6.22	4.29	16.55	10.02	8.04	2.17	33.13
60.14	23.08	0.65	3.3	2.1	6.28	4.31	16.6	10.08	8.14	2.16	33.81
60.17	23.18	0.67	3.29	2.08	6.29	4.39	16.7	10.15	8.21	2.16	34.57
60.19	23.32	0.69	3.32	2.09	6.3	4.42	16.82	10.17	8.25	2.2	35.53
60.21	23.49	0.67	3.35	2.16	6.36	4.42	16.88	10.21	8.33	2.21	36.43
60.24	23.6	0.67	3.33	2.15	6.38	4.49	16.96	10.29	8.43	2.19	37.28
60.26	23.72	0.71	3.36	2.14	6.37	4.57	17.09	10.32	8.46	2.22	38.16
60.29	23.9	0.7	3.4	2.2	6.42	4.58	17.18	10.34	8.52	2.24	39.04
60.31	24.02	0.69	3.38	2.22	6.46	4.62	17.24	10.42	8.63	2.22	39.82
60.34	24.13	0.73	3.39	2.2	6.46	4.69	17.35	10.47	8.68	2.24	40.62
60.36	24.3	0.73	3.44	2.25	6.49	4.69	17.45	10.48	8.72	2.27	41.43
60.39	24.44	0.71	3.44	2.29	6.55	4.72	17.5	10.54	8.83	2.26	42.17
60.41	24.54	0.73	3.43	2.27	6.55	4.8	17.6	10.61	8.9	2.26	42.9
60.43	24.69	0.75	3.48	2.3	6.57	4.82	17.71	10.63	8.93	2.3	43.66
60.46	24.86	0.73	3.5	2.35	6.63	4.84	17.77	10.69	9.03	2.3	44.33
60.48	24.97	0.74	3.49	2.33	6.64	4.91	17.86	10.77	9.11	2.29	44.95
60.51	25.11	0.77	3.52	2.36	6.66	4.93	17.98	10.79	9.15	2.32	45.61
60.53	25.29	0.76	3.56	2.42	6.72	4.93	18.05	10.83	9.23	2.33	46.22
60.56	25.41	0.76	3.54	2.43	6.75	5	18.12	10.91	9.33	2.32	46.74
60.58	25.54	0.79	3.55	2.41	6.75	5.06	18.24	10.96	9.38	2.34	47.28
60.61	25.71	0.79	3.6	2.48	6.79	5.06	18.33	10.99	9.43	2.36	47.8
60.63	25.85	0.77	3.6	2.51	6.85	5.1	18.38	11.07	9.55	2.35	48.2
60.65	25.96	0.8	3.6	2.48	6.84	5.18	18.49	11.13	9.61	2.36	48.58
60.68	26.13	0.81	3.65	2.52	6.86	5.2	18.6	11.14	9.65	2.39	49
60.7	26.29	0.79	3.66	2.57	6.92	5.22	18.67	11.21	9.76	2.39	49.31
60.73	26.4	0.81	3.64	2.54	6.93	5.3	18.76	11.28	9.84	2.39	49.57
60.75	26.56	0.83	3.68	2.62	6.95	5.3	18.89	11.3	9.87	2.42	49.84
60.78	26.74	0.8	3.71	2.65	7.01	5.34	18.96	11.34	10.01	2.43	49.99
60.8	26.86	0.84	3.69	2.61	7.03	5.43	19.05	11.43	10.07	2.42	49.99
60.83	27	0.86	3.71	2.66	7.03	5.44	19.17	11.46	10.1	2.44	49.99
60.85	27.19	0.82	3.76	2.72	7.09	5.44	19.25	11.5	10.22	2.46	49.99
60.87	27.33	0.84	3.75	2.68	7.13	5.55	19.32	11.58	10.31	2.45	49.99
60.9	27.45	0.89	3.75	2.7	7.12	5.57	19.43	11.63	10.33	2.47	49.99
60.92	27.63	0.85	3.8	2.78	7.17	5.57	19.53	11.64	10.42	2.5	49.99
60.95	27.79	0.85	3.81	2.76	7.23	5.64	19.59	11.72	10.54	2.49	49.99
60.97	27.91	0.9	3.8	2.75	7.23	5.71	19.7	11.79	10.56	2.48	49.99
61	28.08	0.88	3.84	2.83	7.25	5.69	19.81	11.8	10.63	2.52	49.99
61.02	28.26	0.86	3.86	2.84	7.29	5.75	19.88	11.85	10.76	2.52	49.99
61.05	28.38	0.91	3.84	2.81	7.3	5.84	19.96	11.94	10.81	2.5	49.99
61.07	28.52	0.92	3.85	2.87	7.31	5.83	20.09	11.96	10.84	2.54	49.99
61.09	28.72	0.88	3.9	2.92	7.38	5.85	20.18	12	10.97	2.56	49.99
61.12	28.86	0.92	3.88	2.87	7.42	5.95	20.25	12.08	11.05	2.54	49.99
61.14	28.99	0.96	3.89	2.91	7.42	5.97	20.38	12.12	11.08	2.56	49.99
61.17	29.18	0.91	3.93	2.98	7.45	5.99	20.47	12.13	11.18	2.59	49.99
61.19	29.33	0.91	3.93	2.95	7.5	6.08	20.54	12.21	11.28	2.57	49.99
61.22	29.45	0.97	3.92	2.95	7.49	6.13	20.65	12.26	11.29	2.58	49.99
61.24	29.62	0.94	3.97	3.03	7.52	6.11	20.76	12.28	11.37	2.62	49.99
