#U1	H	C	F	X	E	A	L	M	B	G	D
2.63	0.16	0.23	0.15	0.19	0.14	0.15	0.1	0.09	0.18	0.15	0.21
2.66	0.15	0.26	0.13	0.18	0.13	0.17	0.09	0.1	0.18	0.13	0.22
2.68	0.15	0.26	0.13	0.2	0.13	0.16	0.09	0.1	0.2	0.13	0.22
2.71	0.15	0.23	0.14	0.2	0.13	0.15	0.09	0.1	0.19	0.14	0.22
2.73	0.16	0.26	0.13	0.18	0.14	0.18	0.1	0.11	0.17	0.13	0.23
2.75	0.16	0.26	0.13	0.19	0.13	0.18	0.1	0.1	0.19	0.13	0.23
2.78	0.16	0.23	0.13	0.19	0.13	0.16	0.1	0.1	0.19	0.13	0.21
2.8	0.18	0.24	0.14	0.18	0.14	0.17	0.11	0.11	0.18	0.14	0.23
2.83	0.16	0.24	0.13	0.18	0.13	0.15	0.1	0.1	0.2	0.13	0.24
2.85	0.16	0.24	0.13	0.19	0.13	0.15	0.1	0.1	0.19	0.13	0.22
2.88	0.18	0.23	0.16	0.18	0.14	0.15	0.1	0.1	0.19	0.15	0.22
2.9	0.15	0.25	0.14	0.18	0.12	0.16	0.09	0.1	0.19	0.15	0.24
2.93	0.15	0.23	0.14	0.2	0.12	0.15	0.09	0.1	0.19	0.15	0.23
2.95	0.16	0.23	0.16	0.18	0.13	0.15	0.09	0.1	0.19	0.16	0.22
2.97	0.16	0.26	0.14	0.18	0.13	0.17	0.09	0.12	0.19	0.14	0.25
3	0.16	0.23	0.14	0.21	0.12	0.15	0.09	0.11	0.2	0.14	0.25
3.02	0.16	0.23	0.14	0.18	0.12	0.15	0.09	0.11	0.18	0.14	0.22
3.05	0.18	0.25	0.13	0.18	0.14	0.17	0.1	0.12	0.18	0.14	0.25
3.07	0.16	0.24	0.13	0.19	0.12	0.15	0.09	0.1	0.2	0.13	0.25
3.1	0.16	0.24	0.13	0.18	0.12	0.15	0.09	0.1	0.18	0.13	0.22
3.12	0.18	0.24	0.14	0.18	0.14	0.16	0.1	0.11	0.18	0.16	0.24
3.15	0.16	0.25	0.13	0.18	0.12	0.15	0.09	0.1	0.19	0.14	0.25
3.17	0.16	0.24	0.13	0.17	0.12	0.15	0.09	0.1	0.19	0.14	0.23
3.19	0.17	0.24	0.15	0.16	0.13	0.15	0.09	0.1	0.18	0.16	0.22
3.22	0.16	0.26	0.14	0.16	0.12	0.16	0.09	0.11	0.18	0.14	0.25
3.24	0.16	0.24	0.14	0.18	0.12	0.15	0.09	0.11	0.2	0.14	0.24
3.27	0.16	0.24	0.15	0.16	0.12	0.15	0.09	0.11	0.18	0.14	0.22
3.29	0.17	0.26	0.13	0.16	0.13	0.17	0.09	0.12	0.18	0.14	0.25
3.32	0.16	0.23	0.13	0.17	0.13	0.15	0.09	0.11	0.2	0.14	0.25
3.34	0.16	0.23	0.13	0.15	0.13	0.15	0.09	0.11	0.18	0.14	0.21
3.36	0.18	0.24	0.13	0.15	0.15	0.16	0.1	0.12	0.18	0.15	0.21
3.39	0.16	0.22	0.13	0.15	0.13	0.14	0.09	0.11	0.19	0.14	0.22
3.41	0.16	0.21	0.13	0.16	0.13	0.14	0.09	0.11	0.18	0.14	0.2
3.44	0.18	0.21	0.15	0.15	0.14	0.14	0.1	0.11	0.18	0.16	0.2
3.46	0.15	0.23	0.14	0.15	0.13	0.15	0.09	0.11	0.18	0.15	0.22
3.49	0.15	0.21	0.14	0.17	0.13	0.15	0.09	0.1	0.19	0.15	0.21
3.51	0.15	0.21	0.14	0.16	0.13	0.15	0.09	0.1	0.18	0.16	0.19
3.54	0.15	0.24	0.12	0.16	0.14	0.16	0.09	0.12	0.18	0.14	0.22
3.56	0.15	0.21	0.12	0.18	0.13	0.15	0.09	0.11	0.2	0.14	0.22
3.58	0.15	0.21	0.13	0.15	0.13	0.15	0.09	0.11	0.18	0.14	0.19
3.61	0.17	0.22	0.12	0.15	0.15	0.16	0.1	0.12	0.18	0.15	0.22
3.63	0.15	0.21	0.12	0.16	0.14	0.14	0.09	0.1	0.2	0.15	0.22
3.66	0.15	0.21	0.12	0.15	0.14	0.14	0.09	0.1	0.19	0.15	0.19
3.68	0.18	0.21	0.13	0.15	0.15	0.15	0.11	0.1	0.19	0.17	0.21
3.71	0.16	0.22	0.13	0.15	0.14	0.14	0.1	0.1	0.19	0.16	0.22
3.73	0.16	0.21	0.13	0.16	0.14	0.14	0.09	0.1	0.19	0.16	0.21
3.76	0.17	0.21	0.15	0.15	0.14	0.14	0.1	0.1	0.18	0.18	0.19
3.78	0.15	0.23	0.13	0.15	0.14	0.15	0.09	0.11	0.18	0.16	0.22
3.8	0.15	0.21	0.13	0.17	0.14	0.14	0.09	0.1	0.2	0.16	0.22
3.83	0.15	0.21	0.14	0.17	0.14	0.14	0.09	0.1	0.18	0.17	0.19
3.85	0.16	0.23	0.12	0.17	0.15	0.17	0.09	0.11	0.18	0.16	0.22
3.88	0.15	0.21	0.13	0.19	0.14	0.15	0.09	0.1	0.2	0.16	0.22
3.9	0.15	0.21	0.13	0.17	0.14	0.15	0.09	0.1	0.18	0.16	0.19
3.93	0.17	0.21	0.13	0.17	0.16	0.16	0.11	0.11	0.18	0.18	0.21
3.95	0.16	0.22	0.13	0.17	0.14	0.14	0.1	0.09	0.18	0.17	0.22
3.98	0.16	0.21	0.12	0.17	0.14	0.14	0.1	0.09	0.17	0.17	0.22
4	0.17	0.21	0.14	0.17	0.15	0.15	0.11	0.09	0.17	0.19	0.22
4.02	0.15	0.24	0.13	0.17	0.14	0.14	0.09	0.09	0.17	0.17	0.24
4.05	0.15	0.24	0.13	0.19	0.14	0.14	0.09	0.09	0.18	0.18	0.23
4.07	0.15	0.24	0.15	0.18	0.14	0.14	0.09	0.09	0.17	0.19	0.21
